time,X_LEFT_WRIST,Y_LEFT_WRIST,Z_LEFT_WRIST,X_LEFT_THUMB_CMC,Y_LEFT_THUMB_CMC,Z_LEFT_THUMB_CMC,X_LEFT_THUMB_MCP,Y_LEFT_THUMB_MCP,Z_LEFT_THUMB_MCP,X_LEFT_THUMB_IP,Y_LEFT_THUMB_IP,Z_LEFT_THUMB_IP,X_LEFT_THUMB_TIP,Y_LEFT_THUMB_TIP,Z_LEFT_THUMB_TIP,X_LEFT_INDEX_FINGER_MCP,Y_LEFT_INDEX_FINGER_MCP,Z_LEFT_INDEX_FINGER_MCP,X_LEFT_INDEX_FINGER_PIP,Y_LEFT_INDEX_FINGER_PIP,Z_LEFT_INDEX_FINGER_PIP,X_LEFT_INDEX_FINGER_DIP,Y_LEFT_INDEX_FINGER_DIP,Z_LEFT_INDEX_FINGER_DIP,X_LEFT_INDEX_FINGER_TIP,Y_LEFT_INDEX_FINGER_TIP,Z_LEFT_INDEX_FINGER_TIP,X_LEFT_MIDDLE_FINGER_MCP,Y_LEFT_MIDDLE_FINGER_MCP,Z_LEFT_MIDDLE_FINGER_MCP,X_LEFT_MIDDLE_FINGER_PIP,Y_LEFT_MIDDLE_FINGER_PIP,Z_LEFT_MIDDLE_FINGER_PIP,X_LEFT_MIDDLE_FINGER_DIP,Y_LEFT_MIDDLE_FINGER_DIP,Z_LEFT_MIDDLE_FINGER_DIP,X_LEFT_MIDDLE_FINGER_TIP,Y_LEFT_MIDDLE_FINGER_TIP,Z_LEFT_MIDDLE_FINGER_TIP,X_LEFT_RING_FINGER_MCP,Y_LEFT_RING_FINGER_MCP,Z_LEFT_RING_FINGER_MCP,X_LEFT_RING_FINGER_PIP,Y_LEFT_RING_FINGER_PIP,Z_LEFT_RING_FINGER_PIP,X_LEFT_RING_FINGER_DIP,Y_LEFT_RING_FINGER_DIP,Z_LEFT_RING_FINGER_DIP,X_LEFT_RING_FINGER_TIP,Y_LEFT_RING_FINGER_TIP,Z_LEFT_RING_FINGER_TIP,X_LEFT_PINKY_FINGER_MCP,Y_LEFT_PINKY_FINGER_MCP,Z_LEFT_PINKY_FINGER_MCP,X_LEFT_PINKY_FINGER_PIP,Y_LEFT_PINKY_FINGER_PIP,Z_LEFT_PINKY_FINGER_PIP,X_LEFT_PINKY_FINGER_DIP,Y_LEFT_PINKY_FINGER_DIP,Z_LEFT_PINKY_FINGER_DIP,X_LEFT_PINKY_FINGER_TIP,Y_LEFT_PINKY_FINGER_TIP,Z_LEFT_PINKY_FINGER_TIP,X_RIGHT_WRIST,Y_RIGHT_WRIST,Z_RIGHT_WRIST,X_RIGHT_THUMB_CMC,Y_RIGHT_THUMB_CMC,Z_RIGHT_THUMB_CMC,X_RIGHT_THUMB_MCP,Y_RIGHT_THUMB_MCP,Z_RIGHT_THUMB_MCP,X_RIGHT_THUMB_IP,Y_RIGHT_THUMB_IP,Z_RIGHT_THUMB_IP,X_RIGHT_THUMB_TIP,Y_RIGHT_THUMB_TIP,Z_RIGHT_THUMB_TIP,X_RIGHT_INDEX_FINGER_MCP,Y_RIGHT_INDEX_FINGER_MCP,Z_RIGHT_INDEX_FINGER_MCP,X_RIGHT_INDEX_FINGER_PIP,Y_RIGHT_INDEX_FINGER_PIP,Z_RIGHT_INDEX_FINGER_PIP,X_RIGHT_INDEX_FINGER_DIP,Y_RIGHT_INDEX_FINGER_DIP,Z_RIGHT_INDEX_FINGER_DIP,X_RIGHT_INDEX_FINGER_TIP,Y_RIGHT_INDEX_FINGER_TIP,Z_RIGHT_INDEX_FINGER_TIP,X_RIGHT_MIDDLE_FINGER_MCP,Y_RIGHT_MIDDLE_FINGER_MCP,Z_RIGHT_MIDDLE_FINGER_MCP,X_RIGHT_MIDDLE_FINGER_PIP,Y_RIGHT_MIDDLE_FINGER_PIP,Z_RIGHT_MIDDLE_FINGER_PIP,X_RIGHT_MIDDLE_FINGER_DIP,Y_RIGHT_MIDDLE_FINGER_DIP,Z_RIGHT_MIDDLE_FINGER_DIP,X_RIGHT_MIDDLE_FINGER_TIP,Y_RIGHT_MIDDLE_FINGER_TIP,Z_RIGHT_MIDDLE_FINGER_TIP,X_RIGHT_RING_FINGER_MCP,Y_RIGHT_RING_FINGER_MCP,Z_RIGHT_RING_FINGER_MCP,X_RIGHT_RING_FINGER_PIP,Y_RIGHT_RING_FINGER_PIP,Z_RIGHT_RING_FINGER_PIP,X_RIGHT_RING_FINGER_DIP,Y_RIGHT_RING_FINGER_DIP,Z_RIGHT_RING_FINGER_DIP,X_RIGHT_RING_FINGER_TIP,Y_RIGHT_RING_FINGER_TIP,Z_RIGHT_RING_FINGER_TIP,X_RIGHT_PINKY_FINGER_MCP,Y_RIGHT_PINKY_FINGER_MCP,Z_RIGHT_PINKY_FINGER_MCP,X_RIGHT_PINKY_FINGER_PIP,Y_RIGHT_PINKY_FINGER_PIP,Z_RIGHT_PINKY_FINGER_PIP,X_RIGHT_PINKY_FINGER_DIP,Y_RIGHT_PINKY_FINGER_DIP,Z_RIGHT_PINKY_FINGER_DIP,X_RIGHT_PINKY_FINGER_TIP,Y_RIGHT_PINKY_FINGER_TIP,Z_RIGHT_PINKY_FINGER_TIP
0,0.5572348,0.47178715,5.7087473e-08,0.5444424,0.4490416,-0.0029143859,0.5224161,0.4401967,-0.0047795726,0.50436497,0.44100463,-0.0056237425,0.49318472,0.44830593,-0.006353633,0.52260274,0.45203963,-0.011806161,0.49794555,0.4547885,-0.016112728,0.4890808,0.45436698,-0.016879484,0.4886007,0.45318237,-0.015954409,0.5237776,0.46968055,-0.010787211,0.49776578,0.47613606,-0.013413557,0.49079493,0.47279555,-0.012913869,0.49265432,0.4689828,-0.0122759305,0.5248352,0.48381865,-0.009416916,0.50025207,0.48985755,-0.010709858,0.4942336,0.48522505,-0.009941896,0.49589637,0.48008496,-0.00931954,0.5254101,0.49375388,-0.008027798,0.50560987,0.49795496,-0.008724089,0.49935558,0.49430424,-0.008167855,0.49918416,0.48958954,-0.0075302445,0.37915948,0.46275288,5.6452592e-08,0.39756742,0.46787712,-0.0034827453,0.4158572,0.46287283,-0.006030703,0.42855012,0.4593463,-0.008844492,0.43760148,0.45585632,-0.011921543,0.42318264,0.435383,-0.006195083,0.43531296,0.41660848,-0.01297361,0.44510448,0.41138902,-0.018454488,0.4539392,0.41019714,-0.022014821,0.4163366,0.43142858,-0.008681322,0.42816916,0.41254842,-0.014497854,0.43834838,0.4077692,-0.018826488,0.44770047,0.40676266,-0.02182576,0.4074315,0.43105572,-0.011712574,0.41581684,0.4148797,-0.017238649,0.423949,0.41059637,-0.019641278,0.4312862,0.40960854,-0.021120567,0.39685863,0.43390375,-0.015216702,0.40177044,0.42318696,-0.019719595,0.40718764,0.41967425,-0.020786524,0.41198352,0.4183391,-0.021250458
40.0,0.550571,0.4727568,6.354564e-08,0.5377065,0.4490537,-0.003770837,0.5160257,0.4395204,-0.0065412726,0.49786454,0.44207963,-0.007941822,0.48777944,0.45106536,-0.009258687,0.5178763,0.45485637,-0.016298866,0.49121964,0.45871517,-0.02166464,0.48628998,0.4558841,-0.022667894,0.4904009,0.45214647,-0.021597905,0.5197067,0.47393224,-0.014756999,0.4921791,0.48097998,-0.017931342,0.48742968,0.4760062,-0.017127894,0.49207157,0.47059408,-0.016361587,0.5207527,0.48818043,-0.012574599,0.49560994,0.4939203,-0.01415123,0.49181023,0.48817205,-0.012843262,0.4961384,0.48210612,-0.011932897,0.52108634,0.497494,-0.010363784,0.501433,0.5013229,-0.011290159,0.49719763,0.49693966,-0.010319383,0.49968383,0.49192756,-0.009329784,0.3851297,0.44854552,1.2367204e-07,0.40285394,0.4551631,-0.0035802433,0.42074817,0.45307937,-0.0058686077,0.43344486,0.4514399,-0.008621486,0.4434972,0.44882527,-0.011380562,0.42982814,0.42730063,-0.0019708371,0.44350427,0.41171297,-0.007835794,0.4541121,0.4061258,-0.012904666,0.4635356,0.40433997,-0.015970219,0.42581782,0.42074904,-0.0039911624,0.44000757,0.40445778,-0.008939285,0.45194536,0.39998093,-0.0130841555,0.4624024,0.4001538,-0.015554315,0.41998067,0.41680476,-0.0069029736,0.4333335,0.4013076,-0.011915993,0.44504207,0.39675844,-0.0147866225,0.45531112,0.39687565,-0.016147127,0.41221714,0.41557133,-0.010288698,0.42099375,0.40293336,-0.014692582,0.42824134,0.39738962,-0.015931578,0.43425834,0.39555633,-0.016069937
80.0,0.54868734,0.47224954,6.965228e-08,0.5366546,0.44913426,-0.0030840589,0.515487,0.4393508,-0.0054463847,0.49807754,0.44175607,-0.006522894,0.48814148,0.44963935,-0.007606915,0.51608086,0.45277995,-0.015532362,0.49076238,0.45676205,-0.0208468,0.48232254,0.45533434,-0.02169368,0.4831293,0.4523859,-0.0204948,0.5176031,0.47119993,-0.014328579,0.49120113,0.4802513,-0.017723033,0.48323783,0.47627997,-0.01678916,0.48466995,0.47068515,-0.015750526,0.5187891,0.48545137,-0.012520798,0.49489817,0.49330372,-0.014198385,0.4879294,0.48822927,-0.013180703,0.48876035,0.481613,-0.012347445,0.51964915,0.4951819,-0.0106350705,0.500483,0.49972463,-0.01157412,0.49353987,0.4956146,-0.0108713135,0.49259123,0.49011472,-0.010007928,0.39203405,0.43527842,1.4601278e-07,0.40923393,0.44333413,-0.0030274827,0.42758587,0.4420139,-0.0046809195,0.4393074,0.44044974,-0.006757879,0.44790307,0.44018993,-0.008983438,0.43872944,0.41363248,-0.0017036705,0.45170128,0.4004223,-0.007390183,0.46258318,0.39634678,-0.012469037,0.4720748,0.39585865,-0.015659917,0.4337346,0.40686238,-0.0038470377,0.44788635,0.3930732,-0.008612311,0.45971468,0.38980302,-0.012902688,0.4703457,0.3904591,-0.015629062,0.4264788,0.40284127,-0.0067211348,0.43909574,0.39117107,-0.011934449,0.4497459,0.38921177,-0.014897371,0.45882744,0.39043283,-0.016409146,0.41670838,0.40190744,-0.009990813,0.42541152,0.39539254,-0.014483092,0.43199405,0.39430133,-0.015607938,0.43723157,0.39497638,-0.015750995
120.0,0.54549813,0.47162744,7.498831e-08,0.5336005,0.44922462,-0.0029672491,0.5124258,0.4390832,-0.0052279495,0.4947629,0.4401477,-0.0062716105,0.48463538,0.44788998,-0.0073413583,0.51245314,0.45350718,-0.014312442,0.48880312,0.45727038,-0.019033806,0.48059222,0.4549666,-0.019556083,0.48106518,0.45136988,-0.01830155,0.5140657,0.4712968,-0.0132564865,0.48948747,0.47931272,-0.016143072,0.4812848,0.47480747,-0.015036029,0.48185667,0.46888497,-0.0139814755,0.5155356,0.48510942,-0.011690877,0.49271834,0.49261063,-0.013413403,0.48448926,0.48731732,-0.012414919,0.48393917,0.47997043,-0.011568042,0.51670617,0.49450558,-0.010026092,0.49780867,0.49907666,-0.011175184,0.49015635,0.4949896,-0.010477008,0.4887014,0.48878065,-0.009552234,0.39635307,0.4195461,1.4687373e-07,0.41272002,0.43026546,-0.0030723969,0.4306637,0.43207288,-0.0049700416,0.44222742,0.43291676,-0.007272322,0.4513932,0.43318713,-0.009690053,0.44554213,0.40538636,-0.0012389651,0.46003485,0.39463246,-0.0069324584,0.47128218,0.39173353,-0.0119735245,0.4805551,0.39221895,-0.015082054,0.44129667,0.39776853,-0.0034551322,0.45737568,0.38543156,-0.008524488,0.4697543,0.38365623,-0.013055434,0.48037165,0.38578242,-0.015893465,0.4348437,0.3920189,-0.0064507984,0.45017436,0.38280076,-0.012323152,0.46204093,0.38317835,-0.015619049,0.47188017,0.38672537,-0.017188665,0.42598972,0.3888875,-0.009768327,0.4383192,0.38526893,-0.01501809,0.4466185,0.3877642,-0.01638644,0.4532332,0.39209697,-0.01653667
160.0,0.54286206,0.47279707,7.044744e-08,0.5318015,0.44910008,-0.0041872333,0.5103621,0.43864468,-0.006253549,0.4921301,0.44024068,-0.0067839217,0.4813911,0.4474282,-0.007261663,0.51040614,0.45496678,-0.014618795,0.48656392,0.4576953,-0.018815,0.4791852,0.4560911,-0.019081177,0.47965583,0.45332366,-0.017848298,0.5119064,0.47359243,-0.012729106,0.4876385,0.48062453,-0.01521905,0.4801525,0.47676656,-0.014139522,0.4805119,0.47140285,-0.013259379,0.5131318,0.48737577,-0.010413801,0.49104625,0.49439093,-0.011874029,0.48369312,0.48936725,-0.011112418,0.48328602,0.4822677,-0.010614936,0.51403093,0.49625963,-0.008121605,0.49595082,0.5002762,-0.009156022,0.48948348,0.49649552,-0.008702798,0.48869973,0.49071702,-0.008121235,0.40404794,0.4104007,1.389435e-07,0.41980025,0.42192194,-0.0034376483,0.43637738,0.42471266,-0.0054533975,0.44709164,0.42518422,-0.007875428,0.45496723,0.426168,-0.01053809,0.45230854,0.39845738,-0.0020935845,0.46722844,0.38932705,-0.007676117,0.47769898,0.38760456,-0.012616769,0.48621935,0.38894558,-0.015733225,0.4480489,0.39019877,-0.004325014,0.4649084,0.37880567,-0.008883352,0.4769427,0.377923,-0.013192648,0.4869159,0.3808265,-0.016067628,0.44122815,0.38455752,-0.0073408308,0.45653585,0.37547562,-0.012535159,0.46816733,0.37627295,-0.01589647,0.47772425,0.38019663,-0.017863352,0.43181938,0.38135207,-0.010731277,0.44199258,0.37649435,-0.015530823,0.4492404,0.37879533,-0.016899046,0.45513815,0.3832625,-0.017297987
200.0,0.5411202,0.47397605,8.91331e-08,0.53060573,0.45032126,-0.0044081914,0.51027846,0.44073173,-0.006495363,0.49315068,0.44061574,-0.0070461254,0.48146367,0.44473508,-0.0075030453,0.5091474,0.4572772,-0.014685426,0.48617828,0.45875993,-0.018709974,0.47694376,0.45783162,-0.018738104,0.47542793,0.45586783,-0.017350696,0.5102773,0.4752806,-0.012559007,0.4862266,0.48217562,-0.015439814,0.47717932,0.4782601,-0.014252151,0.47602573,0.47259274,-0.013082752,0.5112492,0.48849338,-0.010034666,0.48902422,0.49523383,-0.011933353,0.48087132,0.489542,-0.011351032,0.47978836,0.48187053,-0.010685471,0.51186055,0.4967544,-0.007506549,0.49361157,0.5007105,-0.008847836,0.486273,0.4963004,-0.0085988445,0.48476902,0.48991796,-0.00797172,0.40842587,0.39890182,1.3112268e-07,0.42193213,0.4131462,-0.00341373,0.43952882,0.4184873,-0.005214865,0.45067346,0.420229,-0.0073074773,0.4574731,0.42079526,-0.009662819,0.45745638,0.39315152,-0.0024111385,0.47228608,0.38560048,-0.0074746,0.4824462,0.38453186,-0.012000482,0.49020645,0.38619235,-0.014917921,0.45373273,0.3839066,-0.0045532696,0.47130564,0.3739861,-0.008896764,0.4833554,0.37418345,-0.012976182,0.49264947,0.37788978,-0.01564384,0.44715026,0.37727496,-0.007398615,0.4637645,0.3681898,-0.012815665,0.47567004,0.37020555,-0.016551672,0.4849282,0.37504807,-0.018731661,0.4377602,0.37324122,-0.010541361,0.4489866,0.37032464,-0.015937736,0.45632136,0.3749456,-0.017765474,0.46194193,0.38143468,-0.018423013
240.0,0.5392006,0.4756054,9.79658e-08,0.52903366,0.45199984,-0.005235704,0.5087709,0.44071892,-0.007676698,0.49139825,0.44011056,-0.008289609,0.4799266,0.44540197,-0.008818806,0.50950676,0.45761952,-0.01668446,0.48864746,0.45838606,-0.020965021,0.47858056,0.457422,-0.021038508,0.4752029,0.4554123,-0.01988337,0.50993526,0.47606644,-0.014475283,0.48676223,0.4828586,-0.01804937,0.4764723,0.47916323,-0.016853342,0.47418714,0.47350368,-0.015621158,0.5106298,0.48970625,-0.011824008,0.48866287,0.49615112,-0.014257938,0.47923112,0.4906029,-0.013624813,0.4768565,0.48272425,-0.01283915,0.5114514,0.49821663,-0.0092238495,0.4934754,0.5014898,-0.010843317,0.4850065,0.49726063,-0.010629315,0.48237583,0.49089855,-0.010026291,0.41404513,0.39208412,1.2035007e-07,0.4260208,0.40663272,-0.0032839107,0.4432739,0.41227436,-0.0046658064,0.45426762,0.4143927,-0.006309647,0.4610929,0.4166792,-0.008183528,0.46217918,0.38844126,-0.0020845074,0.47727793,0.3817896,-0.0064575635,0.48720217,0.38054806,-0.010311515,0.49529725,0.38145328,-0.012933169,0.45886573,0.37871262,-0.0040035928,0.47695392,0.3705052,-0.008022383,0.4885522,0.3711193,-0.011614084,0.497692,0.37460893,-0.014015619,0.45273915,0.37153614,-0.0066102645,0.4699998,0.36461997,-0.011829304,0.48122263,0.3675815,-0.015433344,0.48963916,0.3726796,-0.017536005,0.44393915,0.36649537,-0.009505614,0.45571297,0.3650811,-0.014725185,0.4625098,0.37029988,-0.0167285,0.46742138,0.37692457,-0.01762021
280.0,0.537725,0.47758904,1.0291054e-07,0.5283749,0.4529944,-0.0056293295,0.50847054,0.44102144,-0.0078411605,0.49154204,0.4407749,-0.008072343,0.4797427,0.44480845,-0.008048143,0.50797707,0.46056002,-0.015465805,0.48661843,0.4607505,-0.01908139,0.4779822,0.45881963,-0.018769354,0.47595993,0.4561229,-0.017319156,0.50812364,0.47891074,-0.012726979,0.48460603,0.4837351,-0.015857494,0.47586066,0.4792276,-0.014757922,0.47472233,0.47361627,-0.0134412255,0.5086509,0.49189052,-0.009596785,0.48683676,0.49672946,-0.011666424,0.47876656,0.49042124,-0.011144747,0.47738096,0.4826835,-0.010370514,0.50944644,0.499683,-0.0065392694,0.49175578,0.5016382,-0.007927632,0.48429415,0.49701607,-0.0077681267,0.48243344,0.4908328,-0.007136757,0.4185164,0.38483304,1.3124915e-07,0.4296102,0.40020567,-0.0032506662,0.44655418,0.40674067,-0.0046541686,0.4573678,0.4097234,-0.006387155,0.4641158,0.41299206,-0.008319563,0.46653488,0.38414103,-0.0016205922,0.48218873,0.37804472,-0.0059653213,0.49269843,0.37723753,-0.00980999,0.5009279,0.37863797,-0.012346703,0.46411085,0.37445402,-0.003592501,0.48318174,0.36733505,-0.0075334376,0.4952461,0.36885098,-0.011079837,0.50437516,0.37327108,-0.01336672,0.45882046,0.36684436,-0.0062633697,0.47682992,0.36088046,-0.011473871,0.4882648,0.3646492,-0.014970321,0.49642226,0.3704919,-0.016918875,0.45063388,0.36092606,-0.009225413,0.46277267,0.36044568,-0.014338656,0.4692411,0.36700696,-0.016039627,0.47338593,0.37476793,-0.016642485
320.0,0.53933895,0.48081905,9.923111e-08,0.5298782,0.45688242,-0.0059394184,0.50972694,0.44417438,-0.00876701,0.49238107,0.44199473,-0.009566192,0.48011324,0.44535214,-0.010047861,0.50939053,0.46354476,-0.016217569,0.48590556,0.46310404,-0.020542087,0.47872177,0.4607349,-0.02083328,0.4784753,0.4584828,-0.019574484,0.5097144,0.4822082,-0.013356857,0.48413727,0.48579428,-0.016153459,0.47588116,0.48068663,-0.015436602,0.4755741,0.4750472,-0.0146002,0.5101011,0.4952369,-0.010124035,0.48667663,0.4989416,-0.01182416,0.47901884,0.49193195,-0.0117656365,0.47821656,0.48431516,-0.011634181,0.5103932,0.5024996,-0.006975631,0.49213544,0.5036654,-0.008397311,0.48491526,0.49848056,-0.008610523,0.4828181,0.49229398,-0.008443242,0.42416415,0.38179505,1.4818868e-07,0.43513474,0.3971777,-0.0029327075,0.4516002,0.40445077,-0.004505104,0.4619762,0.40836,-0.0065875323,0.46837762,0.41180554,-0.008847744,0.4726535,0.38095486,-0.0016290743,0.48976892,0.37479413,-0.0065899375,0.5011999,0.37585416,-0.010803851,0.50969136,0.37977505,-0.013436864,0.47011667,0.37118772,-0.0039091287,0.48968008,0.36378962,-0.008284434,0.5023721,0.36724105,-0.012221889,0.5111384,0.37418368,-0.014674994,0.4645593,0.36369327,-0.0069014756,0.483098,0.3578614,-0.012454467,0.49524167,0.36308643,-0.016524488,0.5033874,0.37088656,-0.01879296,0.45607078,0.3580489,-0.010132229,0.46762258,0.3580379,-0.015678266,0.4742904,0.36491323,-0.017833887,0.47848898,0.37314814,-0.01867297
360.0,0.53910315,0.48548874,9.218676e-08,0.5296912,0.46136135,-0.0044748527,0.51046926,0.44886565,-0.007390934,0.49348155,0.44730082,-0.008457504,0.48287022,0.45203367,-0.009280373,0.5119552,0.46063635,-0.016988326,0.48850906,0.45546263,-0.021137906,0.48055327,0.45445117,-0.02096621,0.47910973,0.45372075,-0.019547636,0.51078826,0.4799161,-0.014859066,0.4842,0.48178855,-0.01799545,0.4767125,0.47762662,-0.016787147,0.4773285,0.47308207,-0.015505839,0.5096171,0.49504152,-0.012008785,0.48517165,0.49717408,-0.013679421,0.47869116,0.49033624,-0.012755529,0.47934762,0.4836358,-0.012030043,0.50843716,0.5042986,-0.00906785,0.48981518,0.5039738,-0.010152684,0.48320115,0.49821135,-0.009655821,0.48169562,0.49239728,-0.009034895,0.42747778,0.37988114,1.2103419e-07,0.4385621,0.3962376,-0.0029375106,0.4546973,0.40378457,-0.00459274,0.4647189,0.40740386,-0.006862921,0.47128132,0.41176558,-0.009202587,0.4753442,0.38105956,-0.0008144854,0.491272,0.3752988,-0.0055950065,0.5012642,0.37645808,-0.009850738,0.5085049,0.37967753,-0.012554158,0.47330427,0.37155625,-0.0030332254,0.49231288,0.3645992,-0.00751021,0.5043421,0.36823106,-0.01121959,0.512886,0.3746225,-0.013449123,0.46827695,0.3638566,-0.006077191,0.4868412,0.3580731,-0.011538136,0.4972418,0.36376256,-0.014655177,0.5042332,0.37151453,-0.016138293,0.4602451,0.3578552,-0.009458321,0.47249305,0.35804495,-0.014492568,0.47888756,0.36418465,-0.015953967,0.4828325,0.3716723,-0.016289694
