time,X_NOSE,Y_NOSE,Z_NOSE,visibility_NOSE,X_LEFT_EYE_INNER,Y_LEFT_EYE_INNER,Z_LEFT_EYE_INNER,visibility_LEFT_EYE_INNER,X_LEFT_EYE,Y_LEFT_EYE,Z_LEFT_EYE,visibility_LEFT_EYE,X_LEFT_EYE_OUTER,Y_LEFT_EYE_OUTER,Z_LEFT_EYE_OUTER,visibility_LEFT_EYE_OUTER,X_RIGHT_EYE_OUTER,Y_RIGHT_EYE_OUTER,Z_RIGHT_EYE_OUTER,visibility_RIGHT_EYE_OUTER,X_RIGHT_EYE,Y_RIGHT_EYE,Z_RIGHT_EYE,visibility_RIGHT_EYE,X_RIGHT_EYE_OUTER,Y_RIGHT_EYE_OUTER,Z_RIGHT_EYE_OUTER,visibility_RIGHT_EYE_OUTER,X_LEFT_EAR,Y_LEFT_EAR,Z_LEFT_EAR,visibility_LEFT_EAR,X_RIGHT_EAR,Y_RIGHT_EAR,Z_RIGHT_EAR,visibility_RIGHT_EAR,X_MOUTH_LEFT,Y_MOUTH_LEFT,Z_MOUTH_LEFT,visibility_MOUTH_LEFT,X_MOUTH_RIGHT,Y_MOUTH_RIGHT,Z_MOUTH_RIGHT,visibility_MOUTH_RIGHT,X_LEFT_SHOULDER,Y_LEFT_SHOULDER,Z_LEFT_SHOULDER,visibility_LEFT_SHOULDER,X_RIGHT_SHOULDER,Y_RIGHT_SHOULDER,Z_RIGHT_SHOULDER,visibility_RIGHT_SHOULDER,X_LEFT_ELBOW,Y_LEFT_ELBOW,Z_LEFT_ELBOW,visibility_LEFT_ELBOW,X_RIGHT_ELBOW,Y_RIGHT_ELBOW,Z_RIGHT_ELBOW,visibility_RIGHT_ELBOW,X_LEFT_WRIST,Y_LEFT_WRIST,Z_LEFT_WRIST,visibility_LEFT_WRIST,X_RIGHT_WRIST,Y_RIGHT_WRIST,Z_RIGHT_WRIST,visibility_RIGHT_WRIST,X_LEFT_PINKY,Y_LEFT_PINKY,Z_LEFT_PINKY,visibility_LEFT_PINKY,X_RIGHT_PINKY,Y_RIGHT_PINKY,Z_RIGHT_PINKY,visibility_RIGHT_PINKY,X_LEFT_INDEX,Y_LEFT_INDEX,Z_LEFT_INDEX,visibility_LEFT_INDEX,X_RIGHT_INDEX,Y_RIGHT_INDEX,Z_RIGHT_INDEX,visibility_RIGHT_INDEX,X_LEFT_THUMB,Y_LEFT_THUMB,Z_LEFT_THUMB,visibility_LEFT_THUMB,X_RIGHT_THUMB,Y_RIGHT_THUMB,Z_RIGHT_THUMB,visibility_RIGHT_THUMB,X_LEFT_HIP,Y_LEFT_HIP,Z_LEFT_HIP,visibility_LEFT_HIP,X_RIGHT_HIP,Y_RIGHT_HIP,Z_RIGHT_HIP,visibility_RIGHT_HIP,X_LEFT_KNEE,Y_LEFT_KNEE,Z_LEFT_KNEE,visibility_LEFT_KNEE,X_RIGHT_KNEE,Y_RIGHT_KNEE,Z_RIGHT_KNEE,visibility_RIGHT_KNEE,X_LEFT_ANKLE,Y_LEFT_ANKLE,Z_LEFT_ANKLE,visibility_LEFT_ANKLE,X_RIGHT_ANKLE,Y_RIGHT_ANKLE,Z_RIGHT_ANKLE,visibility_RIGHT_ANKLE,X_LEFT_HEEL,Y_LEFT_HEEL,Z_LEFT_HEEL,visibility_LEFT_HEEL,X_RIGHT_HEEL,Y_RIGHT_HEEL,Z_RIGHT_HEEL,visibility_RIGHT_HEEL,X_LEFT_FOOT_INDEX,Y_LEFT_FOOT_INDEX,Z_LEFT_FOOT_INDEX,visibility_LEFT_FOOT_INDEX,X_RIGHT_FOOT_INDEX,Y_RIGHT_FOOT_INDEX,Z_RIGHT_FOOT_INDEX,visibility_RIGHT_FOOT_INDEX
0,0.5038276,0.27073017,-0.554984,0.99993765,0.5135003,0.24692662,-0.53348416,0.9999292,0.51944304,0.24538517,-0.53363943,0.9999405,0.5247923,0.24407203,-0.5338398,0.99991953,0.49095428,0.2506835,-0.53066975,0.9998783,0.4840938,0.2517183,-0.53077096,0.9998746,0.47745326,0.25283295,-0.5307858,0.9998167,0.53666,0.25093785,-0.33568814,0.9999522,0.4714264,0.26344293,-0.32776096,0.99993134,0.51776063,0.29187664,-0.47527927,0.9999733,0.49152738,0.29492447,-0.4733505,0.99996126,0.58537453,0.36334896,-0.20279057,0.9999944,0.4277607,0.3444447,-0.17025797,0.999944,0.62283134,0.5034877,-0.35951984,0.9984505,0.33881688,0.4274892,-0.32048234,0.9968779,0.5605597,0.46789095,-0.7102096,0.9972289,0.39568794,0.45242855,-0.6740095,0.9806256,0.5333312,0.4743905,-0.7935083,0.9927712,0.42307863,0.45308024,-0.74398625,0.9511327,0.52824485,0.4526714,-0.7882785,0.9929219,0.429238,0.43765736,-0.74191684,0.9482083,0.5328974,0.44845307,-0.7128818,0.98943466,0.42588943,0.43617356,-0.6786935,0.9381287,0.53570455,0.6301272,-0.006472108,0.9995484,0.4419453,0.621004,0.0068496387,0.99881554,0.5290692,0.8497479,-0.06299684,0.1901233,0.43578318,0.82768375,-0.03925005,0.17327736,0.52982855,1.0272706,0.28177267,0.019945992,0.42161995,0.9960465,0.31152722,0.02250458,0.5263586,1.0506074,0.3086405,0.03345174,0.4216053,1.017884,0.34180117,0.04329719,0.5352937,1.0845792,0.13118446,0.01355085,0.41903374,1.0625083,0.13922495,0.02130282
40.0,0.50363934,0.27088326,-0.5571425,0.9999169,0.5138794,0.24816458,-0.53481245,0.9998995,0.5204096,0.24667417,-0.53495604,0.9999194,0.525608,0.24539116,-0.5351447,0.99988794,0.49152106,0.25130978,-0.53221095,0.99982506,0.48459768,0.25214696,-0.5323057,0.9998294,0.47814527,0.2534375,-0.5323261,0.999734,0.5382191,0.2531253,-0.3387417,0.9999422,0.47273535,0.2645884,-0.3320374,0.99991,0.5181335,0.29236493,-0.47856086,0.9999678,0.4916251,0.29495642,-0.4769229,0.99995124,0.58595,0.36430302,-0.22368132,0.99999464,0.42897338,0.34381065,-0.18845288,0.9999372,0.6206558,0.5085545,-0.4218696,0.9990466,0.33461094,0.4117243,-0.39819857,0.997531,0.55534184,0.46741235,-0.7782931,0.99830014,0.39549708,0.43728817,-0.7821462,0.9850572,0.528104,0.4756988,-0.8644253,0.99547887,0.42470032,0.4383474,-0.8571434,0.9617806,0.52082807,0.45432207,-0.8516123,0.9955682,0.43246377,0.42294726,-0.84756255,0.95884687,0.5250299,0.44997582,-0.7783298,0.99337876,0.42832023,0.4219606,-0.78519183,0.9515606,0.5376488,0.6346991,-0.0067213858,0.99958557,0.44315884,0.62255144,0.007097185,0.99881625,0.52963287,0.8528802,-0.06716263,0.19699244,0.43716243,0.8282907,-0.037299972,0.15548979,0.52876854,1.0287309,0.30223945,0.015650105,0.42795974,1.0005581,0.32491428,0.017822968,0.5268519,1.0519173,0.3314763,0.027520526,0.42794937,1.0229096,0.35625425,0.038666733,0.5306011,1.0858699,0.15815173,0.009546275,0.4249174,1.0670434,0.15479249,0.016814696
80.0,0.50559485,0.27325833,-0.5762635,0.9998871,0.51527196,0.25139117,-0.55395406,0.99986863,0.52189547,0.25003603,-0.55406696,0.99988174,0.52689,0.2489343,-0.55424935,0.9998567,0.49313122,0.25433612,-0.55173814,0.9997856,0.48559332,0.2545497,-0.5518405,0.9997584,0.47903886,0.255487,-0.55185115,0.9996611,0.53846675,0.25529292,-0.35790938,0.9999019,0.47307473,0.2674306,-0.35457733,0.9998596,0.52054137,0.2916082,-0.4975364,0.99995327,0.4944752,0.29564747,-0.4969325,0.9999379,0.5878905,0.36818016,-0.24155548,0.9999914,0.43301284,0.34846127,-0.20090243,0.9999018,0.62090987,0.5149413,-0.43905467,0.99896514,0.3340208,0.3945619,-0.3907983,0.99664885,0.5508007,0.462906,-0.77520466,0.9985922,0.3986778,0.42264968,-0.7364225,0.972384,0.5229379,0.46948522,-0.856927,0.9953857,0.42976582,0.4277194,-0.8025383,0.9255273,0.51680416,0.44681495,-0.8388859,0.9953121,0.43716985,0.4130554,-0.7872218,0.9170207,0.52149177,0.44296625,-0.77223784,0.9921503,0.43272117,0.4115339,-0.7358612,0.89896727,0.537615,0.63874656,-0.006351973,0.99907315,0.44314906,0.62791723,0.0066361194,0.997964,0.5299623,0.8599354,-0.04009872,0.24510297,0.4369752,0.84202164,-0.047008656,0.24256863,0.53024316,1.0368663,0.3062229,0.044334296,0.4277562,1.0158538,0.28954002,0.053948257,0.5264412,1.0605104,0.33240375,0.05430246,0.42827743,1.0371585,0.31738824,0.06296483,0.53818774,1.0940583,0.15553887,0.03203541,0.42474544,1.0841384,0.10635647,0.050807256
120.0,0.50668395,0.27357456,-0.38568178,0.99978095,0.5161253,0.2532925,-0.35770154,0.99970514,0.52332884,0.25247556,-0.35785487,0.9997727,0.52809024,0.2518864,-0.35799325,0.9996942,0.495014,0.25407463,-0.35588863,0.9994531,0.48785454,0.25434425,-0.35595033,0.9994312,0.48093793,0.25511917,-0.35594863,0.99906117,0.54027843,0.25927627,-0.16145921,0.99984956,0.4754617,0.2672335,-0.16034374,0.99962914,0.52151746,0.29406187,-0.30930096,0.9999033,0.49511144,0.29541087,-0.30917293,0.99983644,0.5880907,0.36879766,-0.09415384,0.9999927,0.43416116,0.35422757,-0.0582462,0.9998467,0.61856997,0.5196521,-0.33716357,0.9992976,0.33895707,0.38169184,-0.34549809,0.9955112,0.54671484,0.46670812,-0.6745351,0.9990982,0.40963614,0.41665405,-0.73535985,0.973937,0.5198091,0.4718574,-0.7624385,0.9972687,0.43719456,0.4184354,-0.813551,0.9375046,0.5149317,0.44987112,-0.7380477,0.99727064,0.44465283,0.40336734,-0.794261,0.9311203,0.5197655,0.44700825,-0.67048395,0.99595475,0.4412325,0.40387774,-0.73644555,0.9247529,0.53837,0.6493547,-0.008851774,0.99939,0.4424567,0.6381006,0.00934583,0.998243,0.52425814,0.87759185,-0.085021675,0.21817107,0.434151,0.8602621,-0.07340982,0.15633442,0.52366865,1.0738531,0.22275607,0.022446327,0.42949253,1.0521805,0.23136225,0.02423689,0.5224057,1.1009512,0.24590583,0.04090827,0.4313311,1.0780585,0.2551286,0.044747047,0.5254518,1.1288834,0.07310982,0.015440766,0.42018592,1.1162502,0.050602414,0.019988878
160.0,0.5079246,0.27482784,-0.36882448,0.9997522,0.51752603,0.25521633,-0.33829293,0.9996685,0.52486056,0.25398198,-0.33845186,0.9997563,0.52963215,0.2526082,-0.3385633,0.99965775,0.49622482,0.25784135,-0.33651075,0.9993549,0.4897531,0.25845304,-0.33656365,0.9993461,0.48280984,0.2594255,-0.33656088,0.9988405,0.5423601,0.2602073,-0.13906096,0.9998512,0.47724092,0.2702786,-0.13769145,0.999567,0.52391523,0.29467326,-0.29247463,0.99988425,0.4975243,0.29755956,-0.29225093,0.99978846,0.5881366,0.37176758,-0.0840894,0.99999034,0.43756628,0.3604706,-0.04755168,0.9997898,0.6176042,0.52200985,-0.3481746,0.9994475,0.33985582,0.36715353,-0.36609548,0.99699247,0.5449461,0.4674992,-0.6879659,0.99931896,0.4097399,0.39695284,-0.7617479,0.9829663,0.51776063,0.47316206,-0.77867955,0.9978806,0.4395523,0.3997812,-0.841293,0.9557347,0.512723,0.44941086,-0.75252587,0.9978921,0.44714156,0.38931793,-0.8183303,0.9509564,0.51789665,0.44712755,-0.68399763,0.99696046,0.44309226,0.39049459,-0.7621056,0.9475901,0.53836745,0.65683013,-0.009108271,0.99936515,0.44400254,0.64687866,0.009599082,0.9982414,0.52492386,0.8829517,-0.10543435,0.23900448,0.43761867,0.8673535,-0.0724179,0.16505311,0.52411,1.0834125,0.21492468,0.017193308,0.43578556,1.068976,0.2315009,0.017836414,0.52409565,1.1112561,0.23904516,0.031331073,0.4371983,1.0959702,0.25475,0.039336916,0.521885,1.1367531,0.060052224,0.010417556,0.42616028,1.1303424,0.04182602,0.014071511
200.0,0.5088119,0.27430156,-0.4418332,0.9998779,0.5184531,0.25466406,-0.41478857,0.99981827,0.5257998,0.25359946,-0.4149198,0.99987996,0.530462,0.25240457,-0.4150151,0.9998246,0.49696177,0.25673428,-0.41319,0.99966407,0.4901728,0.2573787,-0.41327092,0.9996803,0.48318866,0.25821868,-0.41328663,0.99937856,0.5432224,0.25995195,-0.21681283,0.9999356,0.47714582,0.26832506,-0.21573323,0.99979395,0.5241564,0.29489282,-0.36406708,0.99993885,0.4977625,0.29693145,-0.36408427,0.9998764,0.5891295,0.37162077,-0.15254802,0.99999166,0.43772146,0.35556445,-0.1227957,0.99986506,0.61796844,0.523848,-0.43987438,0.99968505,0.33671305,0.3442506,-0.4704151,0.99822456,0.54306555,0.47149637,-0.78903806,0.9995116,0.41633597,0.39067024,-0.8739983,0.98660207,0.51533544,0.47580793,-0.87619257,0.99844944,0.4446823,0.40035266,-0.95182776,0.9640273,0.51123035,0.4507607,-0.84631824,0.99844176,0.45377684,0.38850507,-0.9212439,0.95928764,0.51641816,0.44867596,-0.7828565,0.99774253,0.45036048,0.38789836,-0.87103707,0.9568483,0.5388873,0.65493447,-0.008919146,0.9992605,0.44194752,0.6438145,0.00935545,0.99841,0.5242807,0.89164203,-0.10580121,0.33892134,0.431348,0.8790885,-0.07425223,0.2579599,0.5255192,1.0965326,0.1864841,0.021996437,0.42668974,1.0877236,0.20263782,0.0241017,0.5257301,1.1250116,0.20745276,0.03508603,0.4283276,1.1168396,0.22273447,0.0465098,0.52278584,1.1528938,0.026890023,0.012659543,0.41590708,1.151458,0.008686483,0.017388532
240.0,0.5108551,0.27778852,-0.42331016,0.99983716,0.51987845,0.25810394,-0.39720884,0.9997446,0.5270209,0.25710273,-0.39734882,0.9998373,0.5322913,0.25593922,-0.3974295,0.9997483,0.49902266,0.26032946,-0.3955539,0.9995246,0.4918516,0.2610277,-0.3956369,0.9995622,0.48503974,0.26239488,-0.39568076,0.999099,0.5438622,0.26248923,-0.2002301,0.99991417,0.478463,0.27213526,-0.19831157,0.99974793,0.52591145,0.2976246,-0.34534803,0.99991965,0.49969202,0.3012114,-0.34515634,0.99984133,0.5907295,0.3709108,-0.13465488,0.9999912,0.44053677,0.35311297,-0.11761131,0.99986875,0.61727405,0.52121353,-0.4292639,0.9996326,0.34329152,0.3300371,-0.47535995,0.9982621,0.54332834,0.47049677,-0.78357416,0.9994062,0.42641094,0.38688353,-0.87552506,0.9868902,0.5153316,0.4744002,-0.87224495,0.99825424,0.45322686,0.3983179,-0.95448744,0.96571213,0.5116667,0.4493917,-0.84349114,0.99825126,0.4629809,0.387986,-0.9242265,0.96111333,0.5166208,0.447218,-0.7782686,0.99755776,0.46036988,0.38735,-0.872626,0.9592203,0.5387089,0.6558907,-0.0051994165,0.9993698,0.44272014,0.6437636,0.0057005202,0.998638,0.5200487,0.8898786,-0.08479315,0.35010633,0.43371585,0.86861384,-0.05038824,0.27264115,0.5192088,1.0905402,0.20803596,0.021318818,0.42874223,1.0789192,0.24131796,0.022915034,0.5194946,1.1189368,0.22910333,0.03759998,0.4296499,1.1066566,0.2629823,0.047334783,0.5157931,1.1451321,0.049831625,0.011899773,0.41911224,1.1434159,0.05290422,0.016246505
280.0,0.51319355,0.28138918,-0.43488815,0.9999298,0.522038,0.26166806,-0.40991896,0.99990165,0.52894354,0.26061067,-0.41004273,0.9999403,0.53447807,0.25964952,-0.41012526,0.9999025,0.5012741,0.26362437,-0.4083546,0.99980265,0.4936063,0.26458487,-0.4084606,0.9998241,0.48703402,0.2664052,-0.40850547,0.9996069,0.54494095,0.26589367,-0.2126326,0.9999732,0.4788782,0.2755761,-0.21089162,0.99990475,0.52788717,0.30142972,-0.35615116,0.9999671,0.5016535,0.3056979,-0.35614377,0.9999262,0.5909037,0.37197182,-0.14500721,0.9999945,0.44139946,0.3501437,-0.13116316,0.99990857,0.61632794,0.5247372,-0.4397521,0.9997062,0.348077,0.3140638,-0.49442986,0.99876034,0.54163694,0.47103357,-0.7957172,0.99954516,0.42765477,0.37520987,-0.8877025,0.9913356,0.51552194,0.47619757,-0.8838434,0.9986803,0.4554103,0.38983852,-0.96522295,0.97626525,0.5120425,0.45080936,-0.85594213,0.99869066,0.46546394,0.38117284,-0.93389755,0.9729081,0.5171934,0.4477411,-0.79048663,0.9981919,0.46288112,0.3804915,-0.88400483,0.97179246,0.53946114,0.652212,-0.011825034,0.99960643,0.4443773,0.63993704,0.012378132,0.9990701,0.521118,0.8860219,-0.08593463,0.42354152,0.43367323,0.8695317,0.01982448,0.30967516,0.52024084,1.0863476,0.2092236,0.021758582,0.4366008,1.0732292,0.3346631,0.021215826,0.52134764,1.1144183,0.23151341,0.04201517,0.43857837,1.1004305,0.35947576,0.049557615,0.51414764,1.142561,0.05663446,0.012130691,0.4264077,1.1386707,0.16241236,0.014103181
320.0,0.5143418,0.28747484,-0.49965885,0.99990416,0.52348036,0.26653752,-0.47761235,0.9998658,0.5302632,0.2655456,-0.47770768,0.99990773,0.5348153,0.2649363,-0.47779414,0.9998627,0.50224173,0.26930633,-0.47598535,0.99974006,0.49410692,0.27099434,-0.4760969,0.9997485,0.48674634,0.27295446,-0.47616035,0.99950707,0.54597276,0.27052036,-0.2818838,0.999954,0.47896603,0.28009054,-0.27989376,0.9998715,0.5281527,0.30808994,-0.42021996,0.9999602,0.50292563,0.31482527,-0.42019385,0.99991965,0.59058535,0.37353644,-0.20270753,0.9999939,0.4430615,0.3468495,-0.1968411,0.99993,0.6171919,0.5265447,-0.5055103,0.9995938,0.35138363,0.31043598,-0.56065196,0.9988682,0.5403959,0.4735732,-0.86617625,0.9993135,0.43654892,0.3700893,-0.9395365,0.9895672,0.513637,0.47827926,-0.9546155,0.99793786,0.46125874,0.3853499,-1.0153767,0.9703813,0.5114669,0.45191553,-0.92436117,0.9979182,0.47250223,0.37763283,-0.98400974,0.96575505,0.5167209,0.4489763,-0.8601433,0.99702543,0.46984428,0.37703115,-0.9351542,0.96275496,0.5385786,0.6487515,-0.0060506803,0.9994728,0.44420743,0.6362516,0.006490575,0.99885523,0.5202564,0.8814348,-0.08317618,0.3706131,0.43217942,0.86674047,0.0023245018,0.29627126,0.51820695,1.077305,0.2083466,0.025663266,0.43123573,1.0592183,0.31590086,0.024308315,0.5172994,1.104473,0.22993526,0.047361657,0.43237382,1.0848136,0.34049833,0.04708773,0.51561373,1.1346406,0.050820816,0.016342511,0.42434794,1.1267486,0.1407796,0.017937291
360.0,0.5148494,0.29474378,-0.540608,0.9998828,0.52444273,0.2734075,-0.51826024,0.9998233,0.53119385,0.2723237,-0.5183468,0.9998822,0.5357968,0.27154332,-0.5184364,0.9998197,0.50293034,0.2763566,-0.5174736,0.9996257,0.494917,0.27799022,-0.5176052,0.999663,0.4874818,0.27986392,-0.5176485,0.99932075,0.54715854,0.27660632,-0.31665716,0.99993944,0.47934532,0.2867058,-0.319306,0.9998265,0.52894866,0.31460404,-0.45857432,0.9999422,0.50260437,0.3223157,-0.459875,0.9998816,0.59104455,0.37753788,-0.2302908,0.9999945,0.44433624,0.34669074,-0.22980332,0.9999232,0.61670953,0.5285001,-0.5348663,0.9996031,0.35219547,0.30643335,-0.58927613,0.999006,0.54198086,0.47660336,-0.89776886,0.99926156,0.44143012,0.36582315,-0.9508641,0.98956126,0.51533633,0.4818216,-0.98765063,0.9978229,0.46772462,0.38088316,-1.0249745,0.96987176,0.5129008,0.45576346,-0.9542781,0.99779284,0.47781962,0.37481293,-0.9934441,0.9652664,0.51835674,0.45283735,-0.8909585,0.99695075,0.4755705,0.37432203,-0.94590074,0.96303546,0.53773797,0.6508719,-0.0059531224,0.9996735,0.44391775,0.63625324,0.0063524703,0.9991474,0.51701444,0.8809445,-0.08273541,0.31591016,0.43360588,0.85548794,-0.0069858436,0.26606822,0.5079685,1.0735662,0.2670353,0.017613975,0.42230716,1.0463367,0.34740686,0.017697338,0.50632143,1.0988294,0.2949489,0.03302517,0.4214295,1.070354,0.37695995,0.040273555,0.5041478,1.1325289,0.11978592,0.010090987,0.41664472,1.1143686,0.17685367,0.013876875
