time,X_NOSE,Y_NOSE,Z_NOSE,visibility_NOSE,X_LEFT_EYE_INNER,Y_LEFT_EYE_INNER,Z_LEFT_EYE_INNER,visibility_LEFT_EYE_INNER,X_LEFT_EYE,Y_LEFT_EYE,Z_LEFT_EYE,visibility_LEFT_EYE,X_LEFT_EYE_OUTER,Y_LEFT_EYE_OUTER,Z_LEFT_EYE_OUTER,visibility_LEFT_EYE_OUTER,X_RIGHT_EYE_OUTER,Y_RIGHT_EYE_OUTER,Z_RIGHT_EYE_OUTER,visibility_RIGHT_EYE_OUTER,X_RIGHT_EYE,Y_RIGHT_EYE,Z_RIGHT_EYE,visibility_RIGHT_EYE,X_RIGHT_EYE_OUTER,Y_RIGHT_EYE_OUTER,Z_RIGHT_EYE_OUTER,visibility_RIGHT_EYE_OUTER,X_LEFT_EAR,Y_LEFT_EAR,Z_LEFT_EAR,visibility_LEFT_EAR,X_RIGHT_EAR,Y_RIGHT_EAR,Z_RIGHT_EAR,visibility_RIGHT_EAR,X_MOUTH_LEFT,Y_MOUTH_LEFT,Z_MOUTH_LEFT,visibility_MOUTH_LEFT,X_MOUTH_RIGHT,Y_MOUTH_RIGHT,Z_MOUTH_RIGHT,visibility_MOUTH_RIGHT,X_LEFT_SHOULDER,Y_LEFT_SHOULDER,Z_LEFT_SHOULDER,visibility_LEFT_SHOULDER,X_RIGHT_SHOULDER,Y_RIGHT_SHOULDER,Z_RIGHT_SHOULDER,visibility_RIGHT_SHOULDER,X_LEFT_ELBOW,Y_LEFT_ELBOW,Z_LEFT_ELBOW,visibility_LEFT_ELBOW,X_RIGHT_ELBOW,Y_RIGHT_ELBOW,Z_RIGHT_ELBOW,visibility_RIGHT_ELBOW,X_LEFT_WRIST,Y_LEFT_WRIST,Z_LEFT_WRIST,visibility_LEFT_WRIST,X_RIGHT_WRIST,Y_RIGHT_WRIST,Z_RIGHT_WRIST,visibility_RIGHT_WRIST,X_LEFT_PINKY,Y_LEFT_PINKY,Z_LEFT_PINKY,visibility_LEFT_PINKY,X_RIGHT_PINKY,Y_RIGHT_PINKY,Z_RIGHT_PINKY,visibility_RIGHT_PINKY,X_LEFT_INDEX,Y_LEFT_INDEX,Z_LEFT_INDEX,visibility_LEFT_INDEX,X_RIGHT_INDEX,Y_RIGHT_INDEX,Z_RIGHT_INDEX,visibility_RIGHT_INDEX,X_LEFT_THUMB,Y_LEFT_THUMB,Z_LEFT_THUMB,visibility_LEFT_THUMB,X_RIGHT_THUMB,Y_RIGHT_THUMB,Z_RIGHT_THUMB,visibility_RIGHT_THUMB,X_LEFT_HIP,Y_LEFT_HIP,Z_LEFT_HIP,visibility_LEFT_HIP,X_RIGHT_HIP,Y_RIGHT_HIP,Z_RIGHT_HIP,visibility_RIGHT_HIP,X_LEFT_KNEE,Y_LEFT_KNEE,Z_LEFT_KNEE,visibility_LEFT_KNEE,X_RIGHT_KNEE,Y_RIGHT_KNEE,Z_RIGHT_KNEE,visibility_RIGHT_KNEE,X_LEFT_ANKLE,Y_LEFT_ANKLE,Z_LEFT_ANKLE,visibility_LEFT_ANKLE,X_RIGHT_ANKLE,Y_RIGHT_ANKLE,Z_RIGHT_ANKLE,visibility_RIGHT_ANKLE,X_LEFT_HEEL,Y_LEFT_HEEL,Z_LEFT_HEEL,visibility_LEFT_HEEL,X_RIGHT_HEEL,Y_RIGHT_HEEL,Z_RIGHT_HEEL,visibility_RIGHT_HEEL,X_LEFT_FOOT_INDEX,Y_LEFT_FOOT_INDEX,Z_LEFT_FOOT_INDEX,visibility_LEFT_FOOT_INDEX,X_RIGHT_FOOT_INDEX,Y_RIGHT_FOOT_INDEX,Z_RIGHT_FOOT_INDEX,visibility_RIGHT_FOOT_INDEX
0,0.48845258,0.25015408,-0.42009026,0.99937916,0.5017647,0.22877556,-0.38961142,0.999164,0.50894314,0.22776969,-0.3897516,0.9990465,0.51418835,0.22734176,-0.38987353,0.99896085,0.48016214,0.22975063,-0.38893196,0.9990233,0.47290844,0.22951108,-0.38902918,0.9988883,0.46637055,0.22990865,-0.38915083,0.9987967,0.5239227,0.23656265,-0.18910241,0.9989845,0.46117836,0.24179453,-0.18693258,0.99909306,0.5042071,0.27164128,-0.34291723,0.9996538,0.47650427,0.2752397,-0.34300384,0.9995484,0.57501996,0.36175358,-0.09779774,0.9998517,0.41252726,0.34145454,-0.0888164,0.9996846,0.62342125,0.5128316,-0.32830992,0.995701,0.31875068,0.40966916,-0.3604151,0.99799913,0.5325896,0.43983674,-0.6297336,0.9909288,0.4269358,0.32713205,-0.6734095,0.9920508,0.5076544,0.42414564,-0.6988814,0.965583,0.46154386,0.3067779,-0.7383134,0.96500623,0.5044487,0.40667015,-0.66157794,0.9627321,0.46955574,0.29673848,-0.70090896,0.9568037,0.50793856,0.40809813,-0.61871874,0.94913703,0.46341944,0.30554375,-0.6630535,0.94284004,0.5283184,0.6657087,-0.01571334,0.9962101,0.4248866,0.6567177,0.016195536,0.9948797,0.5111709,0.9060689,-0.09169099,0.17023164,0.40185967,0.8768276,0.0029246737,0.18011712,0.5028599,1.1037478,0.1418908,0.0399281,0.3615993,1.0775026,0.26397708,0.047852665,0.49937677,1.134029,0.15671894,0.042394556,0.36158007,1.1066309,0.28299418,0.05040307,0.5054391,1.1600451,-0.031225162,0.02900439,0.3437807,1.1409795,0.07438374,0.04047235
40.0,0.4924839,0.24869803,-0.399614,0.9994522,0.5049065,0.22581416,-0.36749235,0.9992435,0.511378,0.22450349,-0.3675957,0.99917173,0.51596284,0.22368115,-0.3677027,0.99913293,0.48284945,0.22928879,-0.36991212,0.9990145,0.47564435,0.22949706,-0.3699438,0.99884915,0.46825984,0.23066203,-0.3700633,0.9987632,0.5263749,0.23151761,-0.16094469,0.99916685,0.4614418,0.24295558,-0.17351456,0.9992113,0.5093703,0.26936662,-0.3203469,0.999696,0.48157752,0.27453882,-0.32460597,0.9996146,0.5764861,0.35870534,-0.06058343,0.9999211,0.41428897,0.3346824,-0.084083445,0.99972004,0.6252595,0.509321,-0.28190607,0.9965938,0.313057,0.38862866,-0.34597036,0.9982413,0.5318928,0.4386827,-0.5747424,0.9943679,0.4273073,0.32606634,-0.6186071,0.9915298,0.504365,0.4291336,-0.64463586,0.9765598,0.46324888,0.3160844,-0.680327,0.9616536,0.5017172,0.40987447,-0.6050564,0.9741683,0.4720718,0.30236292,-0.64323276,0.9525975,0.50641954,0.40930584,-0.563273,0.96463245,0.46531084,0.30631667,-0.607915,0.93884236,0.5257467,0.6593664,0.0010335147,0.99716896,0.42034307,0.647332,-0.0005271688,0.9955983,0.49779633,0.90331036,-0.0820119,0.15878628,0.40964466,0.8727044,-0.037485886,0.15348144,0.49210104,1.1120454,0.15039082,0.04191436,0.36984506,1.091062,0.20644559,0.044470977,0.4880069,1.1421659,0.16425416,0.045894276,0.36964363,1.1207163,0.2228009,0.04293799,0.49507585,1.1708152,-0.030988492,0.030317774,0.35411724,1.1580428,0.0052411756,0.040734634
80.0,0.48611388,0.24715394,-0.5114668,0.9994087,0.49911165,0.22523682,-0.48291078,0.9991559,0.5062413,0.22451298,-0.4830021,0.9991314,0.51239115,0.22395033,-0.48311466,0.99908376,0.4782545,0.22788964,-0.48105016,0.9989178,0.47123066,0.22840922,-0.48113742,0.99877053,0.4651122,0.22949028,-0.48123965,0.99853945,0.523313,0.23460476,-0.2869276,0.99922025,0.46111798,0.24083503,-0.2799282,0.9990038,0.5009685,0.267996,-0.4355506,0.9997004,0.47386253,0.27143458,-0.43412617,0.99953306,0.5752139,0.35655367,-0.20233314,0.9999021,0.41255477,0.33705854,-0.1896978,0.9996573,0.62406266,0.5068707,-0.48025268,0.9980837,0.30797958,0.36762723,-0.5116756,0.9980591,0.5297232,0.43571758,-0.789867,0.9955226,0.41323715,0.31806278,-0.838255,0.9871744,0.50221205,0.43088824,-0.86171997,0.98139185,0.45108566,0.31106675,-0.9065514,0.9491742,0.4980768,0.4091765,-0.8191767,0.97964513,0.46122012,0.30193275,-0.8632266,0.9373782,0.5037969,0.40817362,-0.77735305,0.9711141,0.4548127,0.3074049,-0.82742226,0.92122674,0.52293056,0.65658784,-0.010002909,0.9961493,0.42159182,0.64594644,0.010378113,0.9943672,0.5130472,0.8989384,-0.09106327,0.14376414,0.40449813,0.87324035,-0.03560547,0.15865155,0.5011574,1.0956881,0.15316643,0.03138496,0.36706865,1.0734779,0.2190819,0.038013134,0.49866095,1.1255875,0.16817804,0.03051064,0.36750555,1.102638,0.23669244,0.038981624,0.5015793,1.1521866,-0.023896292,0.021495465,0.3515252,1.1380768,0.021825204,0.034581717
120.0,0.4819134,0.24803717,-0.47155905,0.999673,0.49578026,0.22639781,-0.4420346,0.9994973,0.5035016,0.22572297,-0.44209653,0.99948394,0.5099599,0.22566986,-0.442207,0.99946505,0.4746339,0.22702895,-0.44218016,0.9992656,0.4679135,0.22706538,-0.44217533,0.9991454,0.46183127,0.22783841,-0.44225946,0.99897134,0.5235234,0.23538187,-0.23896597,0.9995689,0.45870322,0.23957597,-0.24260919,0.9994524,0.49969184,0.27105153,-0.39293116,0.99986565,0.47174406,0.27329004,-0.3944834,0.9997787,0.57427776,0.3540537,-0.14445275,0.9999572,0.4128117,0.33369035,-0.16219762,0.9997819,0.6257746,0.5039819,-0.42175743,0.9985958,0.30418617,0.34622657,-0.4826066,0.99852943,0.532475,0.43938372,-0.74510133,0.9977169,0.40587533,0.31817418,-0.79557055,0.9912224,0.503878,0.4415669,-0.8246667,0.9899419,0.4383485,0.32360077,-0.8621102,0.96437144,0.4977218,0.4188088,-0.7794492,0.98923254,0.4485347,0.31472683,-0.82495177,0.95640457,0.5035621,0.4141408,-0.7328987,0.98477244,0.44427854,0.31635022,-0.7867966,0.94827,0.525905,0.66153526,0.006219499,0.99743456,0.4220367,0.6505272,-0.0058324146,0.99619246,0.50758046,0.890351,-0.07780333,0.13579303,0.41479203,0.8753995,-0.05082744,0.13045433,0.486548,1.1083555,0.1901989,0.020708157,0.37974274,1.0894368,0.22200285,0.018854143,0.4841197,1.1361376,0.20667368,0.02215296,0.37901413,1.117263,0.24033016,0.02145124,0.48335028,1.1664013,0.006511828,0.011654987,0.36895207,1.1570704,0.014789176,0.017311513
160.0,0.48589915,0.24307612,-0.44717005,0.9998235,0.49852893,0.22358394,-0.4169394,0.999718,0.5057464,0.22318384,-0.41701007,0.99973637,0.51179016,0.22332661,-0.41709778,0.9996984,0.47774026,0.22439116,-0.41646376,0.999579,0.47114795,0.22462982,-0.41646412,0.99954164,0.46469948,0.2258765,-0.41654888,0.9993656,0.524948,0.2345968,-0.2209266,0.9998252,0.46026367,0.23953396,-0.22181788,0.9997348,0.5023613,0.264966,-0.3721167,0.9999294,0.475842,0.26697057,-0.3726925,0.99986196,0.57581383,0.3560422,-0.15233484,0.9999596,0.416208,0.33205855,-0.16847521,0.9998149,0.6263438,0.50313574,-0.45669222,0.9986186,0.31527585,0.31370214,-0.5287609,0.9983046,0.5309468,0.43970695,-0.786353,0.9968465,0.4201085,0.3116611,-0.8509842,0.98454386,0.5020945,0.4489077,-0.868453,0.9881243,0.44723323,0.32506517,-0.91895854,0.94673663,0.49432436,0.42607507,-0.82478535,0.98747176,0.45756662,0.3207833,-0.8811182,0.9358032,0.5007743,0.42024776,-0.7755984,0.98312336,0.45386627,0.3193985,-0.8428564,0.92869055,0.5224659,0.66255975,0.0002125834,0.997973,0.4216042,0.6477583,0.00019385508,0.99718094,0.48800963,0.9059692,-0.06453107,0.22231618,0.4067742,0.8829977,-0.035293177,0.21984744,0.47957453,1.1055632,0.22125545,0.032857787,0.36574757,1.0941632,0.23668264,0.02933929,0.4778365,1.1340692,0.23954162,0.031670596,0.36507756,1.1232523,0.2548784,0.033311903,0.47544217,1.161568,0.050127007,0.015592683,0.35036463,1.1612949,0.036183383,0.022598816
200.0,0.48430306,0.24453753,-0.47670507,0.99989355,0.49629724,0.2244727,-0.4472075,0.999845,0.50362694,0.22433509,-0.4472634,0.9998585,0.51002246,0.2243349,-0.4473346,0.99983275,0.4769192,0.22535144,-0.44444576,0.9997627,0.47067502,0.22586592,-0.44449583,0.9997451,0.4646834,0.22719868,-0.44456172,0.9996159,0.5238106,0.23539394,-0.25329813,0.9999138,0.46138108,0.24057208,-0.24490055,0.99984646,0.5003941,0.2672405,-0.4021581,0.9999598,0.47585014,0.268847,-0.40024886,0.9999175,0.5731666,0.3551304,-0.20000786,0.9999728,0.41557214,0.33478406,-0.17867164,0.99985707,0.623002,0.5036316,-0.52364296,0.99931216,0.30909222,0.2939237,-0.55150837,0.99866736,0.5250501,0.43348253,-0.84242064,0.99851865,0.40965173,0.3060917,-0.89130604,0.98730916,0.49859807,0.44595322,-0.9227995,0.9936801,0.4349256,0.32379562,-0.9600753,0.9560238,0.49045837,0.4268546,-0.87619054,0.9932207,0.4468381,0.32121876,-0.91881365,0.94612837,0.49658838,0.42105776,-0.8292359,0.9903922,0.44418904,0.31793433,-0.8826069,0.93844825,0.5229074,0.66323996,-0.014336416,0.99859446,0.4235664,0.65004396,0.014667866,0.99773055,0.51225066,0.9013142,-0.080756634,0.2315491,0.4004323,0.8801649,-0.014944405,0.22628543,0.49412116,1.1028357,0.18834406,0.0377649,0.37178293,1.0804012,0.25241336,0.033284165,0.4926522,1.1331936,0.2055509,0.04002088,0.3732196,1.1085174,0.2706882,0.03680013,0.4922298,1.1583297,0.019681204,0.022086438,0.35666764,1.1463718,0.06117886,0.02795786
240.0,0.48431608,0.24311955,-0.49692854,0.99990416,0.49587604,0.22336552,-0.46754977,0.9998728,0.5033067,0.22372127,-0.46759647,0.9998845,0.50985026,0.22382542,-0.4676889,0.99987245,0.4756688,0.22402532,-0.46625793,0.99979717,0.4690192,0.22469872,-0.4663069,0.9997727,0.4627517,0.22614606,-0.46635988,0.99965394,0.52400345,0.23515844,-0.2705565,0.9999318,0.4572019,0.24122837,-0.26978317,0.9998617,0.50102407,0.26595223,-0.42105183,0.9999651,0.4747405,0.26743054,-0.42140466,0.9999242,0.57157755,0.3550661,-0.21030329,0.9999771,0.414264,0.33761555,-0.19599165,0.9998307,0.6223551,0.5069916,-0.5277483,0.99933136,0.31263095,0.28127033,-0.5518596,0.9983456,0.5234213,0.43298844,-0.8359719,0.99866855,0.41120863,0.30435747,-0.86841565,0.9806969,0.4964002,0.4424351,-0.91259366,0.99421656,0.43654743,0.32847703,-0.93045026,0.9341404,0.49004185,0.42273217,-0.8640171,0.99382484,0.4484529,0.32888055,-0.8868064,0.91990507,0.49639925,0.41850233,-0.8212606,0.99084467,0.44605684,0.32484603,-0.8580644,0.9107892,0.5229789,0.6576807,-0.010392985,0.9982085,0.4238425,0.643255,0.010680948,0.9970927,0.5110039,0.89993787,-0.07097734,0.24925001,0.40011626,0.8768295,-0.01985355,0.24461333,0.49325654,1.0988793,0.20428874,0.039780766,0.36501846,1.0756035,0.2450057,0.035342906,0.4909981,1.1284251,0.2224155,0.03999559,0.36577713,1.1028876,0.2632651,0.035751104,0.49297386,1.1549345,0.039283287,0.023160914,0.3512739,1.1426901,0.054627594,0.028697541
280.0,0.4865011,0.23935021,-0.47737473,0.9999329,0.49651697,0.22054476,-0.44610167,0.99989843,0.50364864,0.22040597,-0.44615063,0.99991274,0.5101123,0.22062209,-0.4462007,0.9998988,0.47721046,0.22160351,-0.44482315,0.99983704,0.47057453,0.22255012,-0.4448759,0.9998281,0.46439168,0.2243393,-0.44494277,0.9997247,0.5226747,0.23297596,-0.24638534,0.9999511,0.45884442,0.24097443,-0.24527195,0.99989045,0.5028314,0.26155308,-0.40135872,0.99997354,0.4781532,0.26344535,-0.4015737,0.99993634,0.5730628,0.35641178,-0.19329861,0.999982,0.41591105,0.34055334,-0.18115097,0.999856,0.6223662,0.5034164,-0.52130777,0.9994203,0.3136843,0.27571335,-0.55057865,0.9985359,0.523122,0.4323591,-0.8358792,0.9989342,0.4135379,0.30340096,-0.8749586,0.9832041,0.4957534,0.4420435,-0.9148719,0.9953434,0.44181305,0.3284259,-0.9396543,0.9418728,0.48842382,0.4238453,-0.8681638,0.99501956,0.4525472,0.3282359,-0.89708644,0.9289359,0.49494776,0.41941857,-0.82238,0.9927222,0.4496205,0.3234494,-0.8654747,0.92324877,0.52299345,0.66072786,-0.009046491,0.99858034,0.422935,0.6464064,0.009370462,0.9979457,0.5037008,0.9085372,-0.073262595,0.2353576,0.3967589,0.88396615,-0.03945608,0.2417322,0.48339027,1.1107438,0.20750326,0.03317524,0.35900316,1.093742,0.21796878,0.033633795,0.48158216,1.1402144,0.22543325,0.032376368,0.35913706,1.122539,0.23457345,0.03490192,0.48135856,1.1676912,0.036825575,0.01857218,0.3432345,1.1611311,0.017617926,0.028220002
320.0,0.48735783,0.2387046,-0.46185166,0.9998565,0.49754763,0.21891436,-0.43039823,0.9998197,0.50475043,0.21886191,-0.43044725,0.9998221,0.51117533,0.21900874,-0.4305258,0.99981314,0.4775176,0.22055984,-0.43058375,0.99971193,0.47056708,0.22193834,-0.4306206,0.99965537,0.46417218,0.2241412,-0.4306922,0.9995121,0.52328944,0.23145348,-0.22797795,0.9998982,0.45762587,0.2411294,-0.23357877,0.99979633,0.50431114,0.26134002,-0.38461745,0.9999571,0.47810978,0.2637531,-0.38675562,0.99990404,0.5728682,0.35937816,-0.1687611,0.9999672,0.41654015,0.33547488,-0.18087518,0.9998105,0.6216917,0.5108028,-0.49836022,0.99874216,0.31382495,0.2690864,-0.5551841,0.9975725,0.52353925,0.43358797,-0.8191759,0.9977902,0.41189227,0.30508703,-0.88010913,0.970355,0.4957114,0.44004846,-0.89768434,0.99032074,0.44026297,0.33215865,-0.9449033,0.90128815,0.49005,0.41924518,-0.8488029,0.9896359,0.45143646,0.33063534,-0.9022909,0.8812981,0.496525,0.41560477,-0.80508983,0.98495483,0.44848585,0.3252763,-0.8706215,0.87078005,0.52309066,0.6652241,-0.0031967196,0.99774843,0.4211677,0.6512071,0.0035252227,0.99708444,0.4927364,0.9084144,-0.051937718,0.17929786,0.39985302,0.8852298,-0.039004657,0.1922615,0.48243695,1.1137552,0.22056253,0.032940563,0.3629282,1.0952512,0.22372684,0.033894286,0.47901243,1.1436086,0.2377912,0.034206457,0.36335164,1.1239555,0.24082787,0.03325955,0.48293865,1.1719191,0.046407677,0.023033304,0.3477708,1.1636691,0.019899858,0.033132255
360.0,0.48705047,0.23930258,-0.45942366,0.9999751,0.4973387,0.21999171,-0.42717314,0.9999691,0.5043795,0.21973634,-0.42722413,0.9999739,0.51005614,0.2196953,-0.42729676,0.9999695,0.4778798,0.22168824,-0.42734078,0.999948,0.47126257,0.22300345,-0.42738125,0.99994254,0.4644933,0.22507317,-0.4274346,0.9999,0.5224652,0.23144507,-0.22392656,0.9999876,0.45812064,0.2410593,-0.22923385,0.999964,0.5031993,0.26098534,-0.3820813,0.9999914,0.47754928,0.26321784,-0.38444412,0.999977,0.56969583,0.3565108,-0.17253345,0.999982,0.41620713,0.3373806,-0.16388841,0.9998516,0.62130296,0.50857085,-0.5028162,0.9992506,0.31590223,0.2684322,-0.5352199,0.99785405,0.52378416,0.43279782,-0.8274603,0.99884015,0.41353235,0.3096869,-0.8750105,0.97865546,0.49526298,0.43828166,-0.9052023,0.9949868,0.43968785,0.33518356,-0.9398191,0.92853373,0.49045992,0.41702706,-0.8580635,0.9946061,0.45280233,0.33493736,-0.89623135,0.9127999,0.4966803,0.41347745,-0.8137428,0.99244374,0.44938245,0.33064488,-0.8655392,0.9101698,0.51959467,0.6592591,-0.019215241,0.9989741,0.42215344,0.6479121,0.019789094,0.9983746,0.5103665,0.9057534,-0.08047038,0.2612878,0.39673072,0.879234,0.035003968,0.24945267,0.4932487,1.1042489,0.19858553,0.02563789,0.37085742,1.083457,0.31815866,0.030859008,0.49347427,1.1357037,0.21683888,0.028357038,0.37241364,1.1145805,0.33804846,0.033282094,0.48721707,1.1618863,0.033118203,0.014735078,0.3485574,1.1462964,0.13476758,0.0256929
