English,Dutch,No. participants,Mode of rep,Semantical category,pp01,pp02,pp03,pp04,pp05,pp06,pp07,pp08,pp09,pp10,pp11,pp12,pp13,pp14,pp15,pp16,pp17,pp18,MEAN,x,y
TO-SAW,ZAGEN,16,acting,Action with object,6,5,5,5,6,5,6,6,4,6,6,6,6,6,2,5,2,5,5.11,0.26218870282173157,0.1045522689819336
CURTAINS,GORDIJNEN,10,acting,Manipulable object,4,4,3,3,2,1,1,5,3,3,3,5,4,2,1,3,2,2,2.83,1.0996288061141968,0.9354754090309143
TO-CRASH,BOTSEN,16,representing,Action with object,6,4,3,1,4,4,5,4,5,3,4,5,6,4,2,1,4,4,3.83,-0.21587920188903809,0.31926873326301575
TO-CUT,SNIJDEN,15,acting,Action with object,4,3,4,4,6,3,3,5,4,4,4,5,3,4,1,3,3,5,3.78,,
BIKE,FIETS,11,acting,Non-manipulable object,1,4,5,3,6,4,5,2,5,5,5,6,5,3,1,5,5,3,4.06,13.00407886505127,-0.7454773783683777
TO-TEAR,SCHEUREN,19,acting,Action with object,2,6,5,3,7,3,5,6,3,5,4,6,5,4,2,3,4,5,4.33,2.18202543258667,1.2870243787765503
MUG,MOK,15,acting,Manipulable object,6,5,4,1,2,3,2,6,5,5,3,4,5,4,1,2,1,3,3.44,12.806072235107422,-0.823470413684845
TOWEL,HANDDOEK,11,acting,Manipulable object,7,6,6,6,4,4,6,4,3,4,4,6,7,5,3,5,2,6,4.89,0.6529639959335327,2.8176581859588623
TO-SMS,SMS'EN,13,acting,Action with object,7,4,5,3,7,6,3,5,4,6,6,6,7,5,5,6,4,6,5.28,1.7550873756408691,1.2197054624557495
TO-SLAP,SLAAN,15,acting,Action without object,3,7,3,6,7,3,4,7,6,5,6,7,7,5,4,6,6,4,5.33,0.1632222831249237,0.3619851768016815
TO-GO-DOWN,OMLAAG LOPEN,13,representing,Action without object,5,2,5,6,7,4,5,3,6,7,6,6,5,1,7,6,1,7,4.94,1.9518276453018188,2.271676778793335
BANANA,BANAAN,14,acting,Manipulable object,7,2,5,6,4,3,5,7,4,7,6,7,6,4,2,7,3,6,5.06,0.5154770612716675,-0.5940664410591125
KEY,SLEUTEL,18,acting,Manipulable object,5,4,4,5,5,3,4,6,3,5,5,7,7,5,1,6,3,5,4.61,0.9564775228500366,0.5160672664642334
TO-STINK,STINKEN,17,acting,Action without object,7,7,6,5,7,7,7,7,7,7,6,6,7,7,7,7,7,5,6.61,2.11542010307312,1.888805866241455
TO-WHISK,OPKLOPPEN,18,acting,Action with object,6,6,4,7,6,6,6,5,5,4,5,7,7,6,4,4,3,3,5.22,11.27696704864502,-1.6765313148498535
MONKEY,AAP,16,personification,Animate ,7,4,6,6,7,6,7,6,6,6,6,5,7,6,6,7,3,3,5.78,-0.4666178524494171,2.6044979095458984
BOOK,BOEK,16,representing,Manipulable object,3,3,6,6,7,6,5,6,5,7,5,7,6,6,4,7,6,5,5.56,-0.20648445188999176,2.7069015502929688
TO-ROW,ROEIEN,18,acting,Action with object,3,1,5,4,5,3,6,6,4,2,4,7,6,5,3,5,2,3,4.11,13.977092742919922,-0.08393485099077225
TO-RUN,RENNEN,19,acting,Action without object,7,7,6,7,7,5,7,6,4,6,6,6,7,6,6,5,6,5,6.06,11.860918045043945,-0.46993690729141235
TO-BREAK,BREKEN,14,acting,Action with object,5,4,4,7,7,4,7,5,5,6,5,7,7,5,6,6,5,5,5.56,0.3151361644268036,-0.3294588029384613
LIGHTER,AANSTEKER,15,acting,Manipulable object,3,7,5,5,5,5,6,5,3,5,5,6,6,6,1,5,5,3,4.78,-1.0135524272918701,1.1400636434555054
RATTLE,RAMMELAAR,19,acting,Manipulable object,1,2,4,4,7,4,1,5,3,3,4,6,7,4,2,3,1,2,3.5,12.067667961120605,-0.17218664288520813
TO-ITCH,KRABBEN,20,acting,Action without object,5,3,6,7,7,6,7,7,6,6,6,7,7,7,2,6,6,7,6.0,10.830854415893555,-1.2734241485595703
SNAKE,SLANG,13,representing,Animate ,3,6,3,5,7,3,3,2,3,4,6,6,3,6,1,3,5,5,4.11,-1.2537147998809814,1.6839220523834229
DOOR,DEUR,20,acting,Manipulable object,4,4,5,3,6,5,2,3,5,6,6,6,4,5,1,6,6,2,4.39,-1.180130958557129,1.1604443788528442
TREE,BOOM,14,drawing,Non-manipulable object,6,2,4,4,6,2,2,1,3,6,5,7,5,6,2,3,2,4,3.89,-0.7173103094100952,0.3780991733074188
TO-PUT-LIPSTICK-ON,LIPPENSTIFTEN,19,acting,Action with object,6,7,6,6,7,6,6,6,6,6,5,7,7,7,7,7,6,7,6.39,12.25094985961914,-0.6729791164398193
TO-SPEAK,PRATEN,14,representing,Action without object,7,7,7,5,7,6,6,4,7,7,7,7,7,6,7,7,7,6,6.5,0.5279194116592407,0.7760558128356934
TO-SLEEP,SLAPEN,19,acting,Action without object,7,5,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6.83,1.3491339683532715,2.3129029273986816
TO-TOAST,PROOSTEN,15,acting,Action with object,7,2,5,2,7,3,3,1,5,3,5,5,6,2,2,4,6,4,4.0,-1.3072975873947144,1.327994704246521
TO-PHONE,BELLEN,17,representing,Action with object,7,7,7,5,6,5,7,7,7,7,7,7,6,7,7,7,6,6,6.56,0.5015202760696411,0.03543885052204132
PIANO,PIANO,20,acting,Non-manipulable object,7,4,5,4,6,2,6,7,5,5,7,7,6,6,5,5,3,5,5.28,-1.2987890243530273,1.3839949369430542
TO-KNOCK,KLOPPEN,19,acting,Action without object,6,7,7,7,6,7,7,7,6,7,7,7,7,7,7,7,7,7,6.83,14.130873680114746,-0.33203819394111633
TO-WRITE,SCHRIJVEN,20,acting,Action with object,6,6,6,6,7,7,7,5,6,7,7,7,7,5,7,7,7,7,6.5,1.203555703163147,0.9695092439651489
TO-WAVE,UITZWAAIEN,20,acting,Action without object,6,7,4,5,6,7,7,7,7,7,5,6,7,5,7,7,4,7,6.17,10.752480506896973,-0.9962358474731445
TO-WALK,LOPEN,12,representing,Action without object,5,4,5,6,7,5,5,3,5,7,5,7,6,1,6,7,5,5,5.22,1.9820228815078735,2.037426471710205
DRILL,BOOR,10,acting,Manipulable object,4,2,2,6,6,5,5,2,5,5,5,4,6,4,1,5,4,4,4.17,11.568766593933105,-1.0672777891159058
BOX,DOOS,15,drawing,Manipulable object,4,2,1,4,4,4,6,2,6,2,5,5,6,5,3,4,3,4,3.89,0.00016777105338405818,2.9340295791625977
TO-KNEAD,KNEDEN,14,acting,Action with object,6,4,5,7,7,5,7,6,5,6,5,6,7,6,4,4,5,4,5.5,12.97598648071289,-0.2765132188796997
BUILDING,GEBOUW,18,drawing,Non-manipulable object,5,4,3,4,2,6,2,1,5,4,5,6,6,5,1,3,1,1,3.56,1.0256785154342651,0.8275363445281982
TO-SHAVE,SCHEREN,15,acting,Action with object,3,6,6,5,7,6,7,3,6,4,6,7,7,5,5,6,6,5,5.56,13.046770095825195,0.27132442593574524
CELL,GEVANGENIS,17,acting,Non-manipulable object,4,3,4,6,4,4,4,2,4,5,4,4,5,4,1,5,3,1,3.72,-0.7487012147903442,1.0618985891342163
PYRAMID,PIRAMIDE,19,drawing,Non-manipulable object,6,5,3,3,5,4,5,5,4,5,4,3,5,3,1,6,2,6,4.17,10.811863899230957,-1.349142074584961
PLANE,VLIEGTUIG,13,personification,Non-manipulable object,7,1,4,7,6,5,6,6,6,4,5,3,6,6,3,5,4,5,4.94,-0.9251028299331665,1.8838831186294556
TO-POWDER,POEDEREN,17,acting,Action with object,3,5,5,2,7,4,1,3,5,4,5,6,6,3,3,6,2,5,4.17,13.131933212280273,-0.9600926041603088
TO-PULL,TREKKEN,19,acting,Action with object,3,6,6,4,6,5,6,6,7,6,4,7,7,5,2,6,4,5,5.28,13.429583549499512,-0.4342007040977478
DEER,HERT,11,personification,Animate ,3,6,5,2,5,7,6,5,4,7,4,2,7,4,1,3,1,2,4.11,1.0073261260986328,2.422666549682617
CAMEL,KAMEEL,10,drawing,Animate ,1,5,2,2,5,3,2,1,3,1,4,4,5,2,1,3,1,5,2.78,14.21864128112793,-0.5994670391082764
TO-PUMP,OPPOMPEN,19,acting,Action with object,6,6,6,3,6,6,5,4,4,6,6,7,6,4,5,6,5,5,5.33,1.066850185394287,-0.13853225111961365
TO-CRY,HUILEN,13,acting,Action without object,7,7,6,6,7,6,7,5,7,7,7,7,7,6,7,7,7,5,6.56,11.627107620239258,-1.6211527585983276
BIRD,VOGEL,16,personification,Animate ,6,5,4,6,7,6,7,7,6,5,5,7,7,6,6,5,4,6,5.83,2.0452206134796143,1.992010474205017
BOTTLE,FLES,10,drawing,Manipulable object,2,2,1,2,1,1,6,1,3,2,4,4,2,1,1,3,1,2,2.17,11.358616828918457,-1.5226552486419678
SPIDER,SPIN,14,representing,Animate ,1,2,2,2,2,1,4,1,2,2,4,4,2,2,1,2,3,2,2.17,-1.0922927856445312,1.7155463695526123
LAPTOP,LAPTOP,19,acting,Manipulable object,3,6,4,3,3,4,2,4,3,3,4,4,3,5,3,6,5,4,3.83,0.2659832537174225,2.883932590484619
BEER,BIER,20,acting,Non-manipulable object,2,6,4,2,4,3,1,2,3,1,2,4,3,3,2,3,1,3,2.72,0.4153136909008026,0.7052377462387085
TO-KNOW,WETEN,14,acting,Action without object,7,7,5,5,5,6,5,6,5,7,5,5,7,4,6,6,5,5,5.61,0.09529690444469452,2.755117654800415
TO-SKI,SKI?N,18,acting,Action without object,4,4,4,3,4,2,3,5,2,4,3,5,4,2,1,2,2,3,3.17,0.440985769033432,2.7888240814208984
MOTORBIKE,BROMMER,17,acting,Non-manipulable object,3,4,2,3,6,5,5,6,3,3,4,2,7,5,2,4,3,3,3.89,-0.5489595532417297,2.5259828567504883
TEA,THEE,12,acting,Non-manipulable object,2,3,3,3,3,4,2,5,3,4,6,4,7,4,2,4,2,4,3.61,-0.5222288370132446,0.38623905181884766
VIOLIN,VIOOL,20,acting,Manipulable object,4,3,6,6,7,6,6,7,7,6,7,6,7,7,6,6,5,6,6.0,-0.9812417030334473,0.8891514539718628
TOOTHBRUSH,TANDENBORSTEL,20,acting,Manipulable object,7,5,6,6,6,6,6,7,6,6,5,5,7,6,6,7,5,5,5.94,13.872773170471191,-0.7780961990356445
WHEELCHAIR,ROLSTOEL,17,acting,Manipulable object,4,1,7,4,6,4,6,6,5,5,5,7,5,3,1,6,3,4,4.56,12.58027458190918,0.052754368633031845
BABY,BABY,14,acting,Animate ,5,6,7,5,6,6,6,7,6,4,6,6,7,6,5,6,5,5,5.78,1.5100408792495728,2.114774465560913
